Text
DevOps实践指南
凤凰项目:一个IT运维的传奇故事
DevOps:软件架构师行动指南
Effective DevOps(中文版)
架构师特刊：微服务与DevOps技术内参
《CIO决策世界》2016盛夏刊：DevOps实施：不可不知的事
DevOps实施手册(在多级IT企业中使用DevOps)
架构师2014年1月： DevOps @ SomeWhere
DevOps 实践
DevOps和自动化运维实践 余洪春 DevOps技术运维开发自动化运维平台项目实战零基础入门到精通DevOps系统架构师自学教程书籍
Lean DevOps: A Practical Guide to On Demand Service Delivery
DevOps:原理、方法与实践
DevOps开发运维训练营
DevOps最佳实践
Hands-On DevOps for Architects: Implementing continuous delivery through automation (English Edition)
持续交付:发布可靠软件的系统方法
